"date","metropolitan_area","for_sale_inventory"
2021-04-30,"Carbondale-Marion",551
2021-05-31,"Carbondale-Marion",614
2021-06-30,"Carbondale-Marion",649
2021-07-31,"Carbondale-Marion",693
2021-08-31,"Carbondale-Marion",730
2021-09-30,"Carbondale-Marion",762
2021-10-31,"Carbondale-Marion",775
2021-11-30,"Carbondale-Marion",768
2021-12-31,"Carbondale-Marion",736
2022-01-31,"Carbondale-Marion",731
2022-02-28,"Carbondale-Marion",719
2022-03-31,"Carbondale-Marion",745
2022-04-30,"Carbondale-Marion",716
2022-05-31,"Carbondale-Marion",701
2022-06-30,"Carbondale-Marion",682
2022-07-31,"Carbondale-Marion",709
2022-08-31,"Carbondale-Marion",742
2022-09-30,"Carbondale-Marion",752
2022-10-31,"Carbondale-Marion",758
2022-11-30,"Carbondale-Marion",737
2022-12-31,"Carbondale-Marion",699
2023-01-31,"Carbondale-Marion",651
2023-02-28,"Carbondale-Marion",599
2023-03-31,"Carbondale-Marion",577
2023-04-30,"Carbondale-Marion",563
2023-05-31,"Carbondale-Marion",555
2023-06-30,"Carbondale-Marion",539
2023-07-31,"Carbondale-Marion",514
2023-08-31,"Carbondale-Marion",502
2023-09-30,"Carbondale-Marion",496
2023-10-31,"Carbondale-Marion",485
2023-11-30,"Carbondale-Marion",474
2023-12-31,"Carbondale-Marion",460
2024-01-31,"Carbondale-Marion",466
2024-02-29,"Carbondale-Marion",488
2024-03-31,"Carbondale-Marion",514
2024-04-30,"Carbondale-Marion",532
2024-05-31,"Carbondale-Marion",532
2024-06-30,"Carbondale-Marion",540
2024-07-31,"Carbondale-Marion",547
2024-08-31,"Carbondale-Marion",558
2024-09-30,"Carbondale-Marion",558
2024-10-31,"Carbondale-Marion",545
2024-11-30,"Carbondale-Marion",536
2018-03-31,"Kankakee",474
2018-04-30,"Kankakee",476
2018-05-31,"Kankakee",494
2018-06-30,"Kankakee",517
2018-07-31,"Kankakee",546
2018-08-31,"Kankakee",559
2018-09-30,"Kankakee",558
2018-10-31,"Kankakee",555
2018-11-30,"Kankakee",558
2018-12-31,"Kankakee",541
2019-01-31,"Kankakee",513
2019-02-28,"Kankakee",475
2019-03-31,"Kankakee",470
2019-04-30,"Kankakee",471
2019-05-31,"Kankakee",489
2019-06-30,"Kankakee",496
2019-07-31,"Kankakee",505
2019-08-31,"Kankakee",520
2019-09-30,"Kankakee",523
2019-10-31,"Kankakee",523
2019-11-30,"Kankakee",493
2019-12-31,"Kankakee",460
2020-01-31,"Kankakee",425
2020-02-29,"Kankakee",404
2020-03-31,"Kankakee",411
2020-04-30,"Kankakee",415
2020-05-31,"Kankakee",420
2020-06-30,"Kankakee",406
2020-07-31,"Kankakee",404
2020-08-31,"Kankakee",400
2020-09-30,"Kankakee",390
2020-10-31,"Kankakee",371
2020-11-30,"Kankakee",341
2020-12-31,"Kankakee",307
2021-01-31,"Kankakee",291
2021-02-28,"Kankakee",278
2021-03-31,"Kankakee",286
2021-04-30,"Kankakee",291
2021-05-31,"Kankakee",320
2021-06-30,"Kankakee",355
2021-07-31,"Kankakee",399
2021-08-31,"Kankakee",439
2021-09-30,"Kankakee",448
2021-10-31,"Kankakee",434
2021-11-30,"Kankakee",407
2021-12-31,"Kankakee",379
2022-01-31,"Kankakee",357
2022-02-28,"Kankakee",339
2022-03-31,"Kankakee",355
2022-04-30,"Kankakee",371
2022-05-31,"Kankakee",401
2022-06-30,"Kankakee",429
2022-07-31,"Kankakee",459
2022-08-31,"Kankakee",482
2022-09-30,"Kankakee",478
2022-10-31,"Kankakee",468
2022-11-30,"Kankakee",442
2022-12-31,"Kankakee",408
2023-01-31,"Kankakee",368
2023-02-28,"Kankakee",343
2023-03-31,"Kankakee",335
2023-04-30,"Kankakee",335
2023-05-31,"Kankakee",333
2023-06-30,"Kankakee",325
2023-07-31,"Kankakee",308
2023-08-31,"Kankakee",294
2023-09-30,"Kankakee",281
2023-10-31,"Kankakee",282
2023-11-30,"Kankakee",277
2023-12-31,"Kankakee",268
2024-01-31,"Kankakee",249
2024-02-29,"Kankakee",242
2024-03-31,"Kankakee",256
2024-04-30,"Kankakee",268
2024-05-31,"Kankakee",271
2024-06-30,"Kankakee",265
2024-07-31,"Kankakee",272
2024-08-31,"Kankakee",281
2024-09-30,"Kankakee",300
2024-10-31,"Kankakee",308
2024-11-30,"Kankakee",313
2018-03-31,"Decatur",654
2018-04-30,"Decatur",672
2018-05-31,"Decatur",698
2018-06-30,"Decatur",716
2018-07-31,"Decatur",742
2018-08-31,"Decatur",756
2018-09-30,"Decatur",747
2018-10-31,"Decatur",727
2018-11-30,"Decatur",690
2018-12-31,"Decatur",634
2019-01-31,"Decatur",575
2019-02-28,"Decatur",537
2019-03-31,"Decatur",547
2019-04-30,"Decatur",587
2019-05-31,"Decatur",623
2019-06-30,"Decatur",666
2019-07-31,"Decatur",696
2019-08-31,"Decatur",719
2019-09-30,"Decatur",712
2019-10-31,"Decatur",686
2019-11-30,"Decatur",642
2019-12-31,"Decatur",581
2020-01-31,"Decatur",529
2020-02-29,"Decatur",497
2020-03-31,"Decatur",517
2020-04-30,"Decatur",535
2020-05-31,"Decatur",550
2020-06-30,"Decatur",540
2020-07-31,"Decatur",551
2020-08-31,"Decatur",560
2020-09-30,"Decatur",550
2020-10-31,"Decatur",519
2020-11-30,"Decatur",471
2020-12-31,"Decatur",436
2021-01-31,"Decatur",402
2021-02-28,"Decatur",373
2021-03-31,"Decatur",358
2021-04-30,"Decatur",347
2021-05-31,"Decatur",355
2021-06-30,"Decatur",361
2021-07-31,"Decatur",379
2021-08-31,"Decatur",409
2021-09-30,"Decatur",418
2021-10-31,"Decatur",411
2021-11-30,"Decatur",383
2021-12-31,"Decatur",348
2022-01-31,"Decatur",316
2022-02-28,"Decatur",286
2022-03-31,"Decatur",295
2022-04-30,"Decatur",308
2022-05-31,"Decatur",334
2022-06-30,"Decatur",343
2022-07-31,"Decatur",356
2022-08-31,"Decatur",357
2022-09-30,"Decatur",351
2022-10-31,"Decatur",355
2022-11-30,"Decatur",339
2022-12-31,"Decatur",309
2023-01-31,"Decatur",269
2023-02-28,"Decatur",251
2023-03-31,"Decatur",253
2023-04-30,"Decatur",243
2023-05-31,"Decatur",236
2023-06-30,"Decatur",237
2023-07-31,"Decatur",246
2023-08-31,"Decatur",267
2023-09-30,"Decatur",271
2023-10-31,"Decatur",281
2023-11-30,"Decatur",272
2023-12-31,"Decatur",265
2024-01-31,"Decatur",249
2024-02-29,"Decatur",239
2024-03-31,"Decatur",236
2024-04-30,"Decatur",236
2024-05-31,"Decatur",247
2024-06-30,"Decatur",271
2024-07-31,"Decatur",286
2024-08-31,"Decatur",302
2024-09-30,"Decatur",303
2024-10-31,"Decatur",312
2024-11-30,"Decatur",305
2018-03-31,"Quincy",318
2018-04-30,"Quincy",340
2018-05-31,"Quincy",362
2018-06-30,"Quincy",375
2018-07-31,"Quincy",382
2018-08-31,"Quincy",380
2018-09-30,"Quincy",378
2018-10-31,"Quincy",385
2018-11-30,"Quincy",385
2018-12-31,"Quincy",376
2019-01-31,"Quincy",356
2019-02-28,"Quincy",343
2019-03-31,"Quincy",346
2019-04-30,"Quincy",363
2019-05-31,"Quincy",377
2019-06-30,"Quincy",387
2019-07-31,"Quincy",385
2019-08-31,"Quincy",385
2019-09-30,"Quincy",385
2019-10-31,"Quincy",389
2019-11-30,"Quincy",391
2019-12-31,"Quincy",379
2020-01-31,"Quincy",363
2020-02-29,"Quincy",348
2020-03-31,"Quincy",342
2020-04-30,"Quincy",332
2020-05-31,"Quincy",333
2020-06-30,"Quincy",341
2020-07-31,"Quincy",354
2020-08-31,"Quincy",356
2020-09-30,"Quincy",346
2020-10-31,"Quincy",330
2020-11-30,"Quincy",317
2020-12-31,"Quincy",298
2021-01-31,"Quincy",274
2021-02-28,"Quincy",245
2021-03-31,"Quincy",229
2021-04-30,"Quincy",221
2021-05-31,"Quincy",215
2021-06-30,"Quincy",206
2021-07-31,"Quincy",211
2021-08-31,"Quincy",224
2021-09-30,"Quincy",242
2021-10-31,"Quincy",225
2021-11-30,"Quincy",200
2021-12-31,"Quincy",158
2022-01-31,"Quincy",136
2022-02-28,"Quincy",114
2022-03-31,"Quincy",107
2022-04-30,"Quincy",109
2022-05-31,"Quincy",122
2022-06-30,"Quincy",138
2022-07-31,"Quincy",153
2022-08-31,"Quincy",166
2022-09-30,"Quincy",178
2022-10-31,"Quincy",188
2022-11-30,"Quincy",185
2022-12-31,"Quincy",170
2023-01-31,"Quincy",162
2023-02-28,"Quincy",161
2023-03-31,"Quincy",170
2023-04-30,"Quincy",166
2023-05-31,"Quincy",171
2023-06-30,"Quincy",177
2023-07-31,"Quincy",191
2023-08-31,"Quincy",194
2023-09-30,"Quincy",190
2023-10-31,"Quincy",196
2023-11-30,"Quincy",199
2023-12-31,"Quincy",203
2024-01-31,"Quincy",191
2024-02-29,"Quincy",184
2024-03-31,"Quincy",178
2024-04-30,"Quincy",182
2024-05-31,"Quincy",185
2024-06-30,"Quincy",186
2024-07-31,"Quincy",185
2024-08-31,"Quincy",184
2024-09-30,"Quincy",189
2024-10-31,"Quincy",195
2024-11-30,"Quincy",198
2018-03-31,"Danville",362
2018-04-30,"Danville",378
2018-05-31,"Danville",406
2018-06-30,"Danville",419
2018-07-31,"Danville",425
2018-08-31,"Danville",425
2018-09-30,"Danville",419
2018-10-31,"Danville",416
2018-11-30,"Danville",405
2018-12-31,"Danville",386
2019-01-31,"Danville",363
2019-02-28,"Danville",352
2019-03-31,"Danville",359
2019-04-30,"Danville",365
2019-05-31,"Danville",371
2019-06-30,"Danville",376
2019-07-31,"Danville",374
2019-08-31,"Danville",370
2019-09-30,"Danville",360
2019-10-31,"Danville",354
2019-11-30,"Danville",338
2019-12-31,"Danville",325
2020-01-31,"Danville",314
2020-02-29,"Danville",312
2020-03-31,"Danville",307
2020-04-30,"Danville",304
2020-05-31,"Danville",300
2020-06-30,"Danville",298
2020-07-31,"Danville",292
2020-08-31,"Danville",290
2020-09-30,"Danville",286
2020-10-31,"Danville",276
2020-11-30,"Danville",259
2020-12-31,"Danville",235
2021-01-31,"Danville",213
2021-02-28,"Danville",182
2021-03-31,"Danville",166
2021-04-30,"Danville",155
2021-05-31,"Danville",161
2021-06-30,"Danville",170
2021-07-31,"Danville",178
2021-08-31,"Danville",189
2021-09-30,"Danville",194
2021-10-31,"Danville",201
2021-11-30,"Danville",193
2021-12-31,"Danville",174
2022-01-31,"Danville",158
2022-02-28,"Danville",141
2022-03-31,"Danville",132
2022-04-30,"Danville",130
2022-05-31,"Danville",138
2022-06-30,"Danville",148
2022-07-31,"Danville",159
2022-08-31,"Danville",175
2022-09-30,"Danville",184
2022-10-31,"Danville",192
2022-11-30,"Danville",190
2022-12-31,"Danville",182
2023-01-31,"Danville",162
2023-02-28,"Danville",137
2023-03-31,"Danville",130
2023-04-30,"Danville",126
2023-05-31,"Danville",139
2023-06-30,"Danville",149
2023-07-31,"Danville",159
2023-08-31,"Danville",164
2023-09-30,"Danville",165
2023-10-31,"Danville",172
2023-11-30,"Danville",177
2023-12-31,"Danville",171
2024-01-31,"Danville",163
2024-02-29,"Danville",160
2024-03-31,"Danville",167
2024-04-30,"Danville",171
2024-05-31,"Danville",159
2024-06-30,"Danville",152
2024-07-31,"Danville",151
2024-08-31,"Danville",163
2024-09-30,"Danville",169
2024-10-31,"Danville",171
2024-11-30,"Danville",169
2018-03-31,"Sterling",288
2018-04-30,"Sterling",296
2018-05-31,"Sterling",305
2018-06-30,"Sterling",320
2018-07-31,"Sterling",340
2018-08-31,"Sterling",357
2018-09-30,"Sterling",361
2018-10-31,"Sterling",349
2018-11-30,"Sterling",328
2018-12-31,"Sterling",298
2019-01-31,"Sterling",279
2019-02-28,"Sterling",268
2019-03-31,"Sterling",272
2019-04-30,"Sterling",288
2019-05-31,"Sterling",306
2019-06-30,"Sterling",315
2019-07-31,"Sterling",319
2019-08-31,"Sterling",332
2019-09-30,"Sterling",350
2019-10-31,"Sterling",363
2019-11-30,"Sterling",351
2019-12-31,"Sterling",329
2020-01-31,"Sterling",303
2020-02-29,"Sterling",289
2020-03-31,"Sterling",285
2020-04-30,"Sterling",287
2020-05-31,"Sterling",299
2020-06-30,"Sterling",306
2020-07-31,"Sterling",301
2020-08-31,"Sterling",284
2020-09-30,"Sterling",269
2020-10-31,"Sterling",254
2020-11-30,"Sterling",243
2020-12-31,"Sterling",226
2021-01-31,"Sterling",224
2021-02-28,"Sterling",219
2021-03-31,"Sterling",223
2021-04-30,"Sterling",227
2021-05-31,"Sterling",241
2021-06-30,"Sterling",260
2021-07-31,"Sterling",275
2021-08-31,"Sterling",299
2021-09-30,"Sterling",311
2021-10-31,"Sterling",314
2021-11-30,"Sterling",296
2021-12-31,"Sterling",266
2022-01-31,"Sterling",238
2022-02-28,"Sterling",211
2022-03-31,"Sterling",203
2022-04-30,"Sterling",205
2022-05-31,"Sterling",218
2022-06-30,"Sterling",241
2022-07-31,"Sterling",259
2022-08-31,"Sterling",282
2022-09-30,"Sterling",286
2022-10-31,"Sterling",291
2022-11-30,"Sterling",275
2022-12-31,"Sterling",249
2023-01-31,"Sterling",227
2023-02-28,"Sterling",213
2023-03-31,"Sterling",214
2023-04-30,"Sterling",214
2023-05-31,"Sterling",211
2023-06-30,"Sterling",202
2023-07-31,"Sterling",192
2023-08-31,"Sterling",191
2023-09-30,"Sterling",186
2023-10-31,"Sterling",178
2023-11-30,"Sterling",161
2023-12-31,"Sterling",145
2024-01-31,"Sterling",130
2024-02-29,"Sterling",125
2024-03-31,"Sterling",126
2024-04-30,"Sterling",133
2024-05-31,"Sterling",134
2024-06-30,"Sterling",136
2024-07-31,"Sterling",145
2024-08-31,"Sterling",164
2024-09-30,"Sterling",180
2024-10-31,"Sterling",191
2024-11-30,"Sterling",190
2018-03-31,"Mount Vernon",233
2018-04-30,"Mount Vernon",233
2018-05-31,"Mount Vernon",237
2018-06-30,"Mount Vernon",246
2018-07-31,"Mount Vernon",255
2018-08-31,"Mount Vernon",261
2018-09-30,"Mount Vernon",260
2018-10-31,"Mount Vernon",252
2018-11-30,"Mount Vernon",239
2018-12-31,"Mount Vernon",223
2019-01-31,"Mount Vernon",207
2019-02-28,"Mount Vernon",197
2019-03-31,"Mount Vernon",197
2019-04-30,"Mount Vernon",199
2019-05-31,"Mount Vernon",202
2019-06-30,"Mount Vernon",206
2019-07-31,"Mount Vernon",213
2019-08-31,"Mount Vernon",219
2019-09-30,"Mount Vernon",226
2019-10-31,"Mount Vernon",229
2019-11-30,"Mount Vernon",228
2019-12-31,"Mount Vernon",216
2020-01-31,"Mount Vernon",209
2020-02-29,"Mount Vernon",205
2020-03-31,"Mount Vernon",208
2020-04-30,"Mount Vernon",204
2020-05-31,"Mount Vernon",198
2020-06-30,"Mount Vernon",190
2020-07-31,"Mount Vernon",186
2020-08-31,"Mount Vernon",178
2020-09-30,"Mount Vernon",164
2020-10-31,"Mount Vernon",147
2020-11-30,"Mount Vernon",131
2020-12-31,"Mount Vernon",117
2021-01-31,"Mount Vernon",115
2021-02-28,"Mount Vernon",123
2021-03-31,"Mount Vernon",138
2021-04-30,"Mount Vernon",148
2021-05-31,"Mount Vernon",161
2021-06-30,"Mount Vernon",185
2021-07-31,"Mount Vernon",201
2021-08-31,"Mount Vernon",220
2021-09-30,"Mount Vernon",223
2021-10-31,"Mount Vernon",225
2021-11-30,"Mount Vernon",218
2021-12-31,"Mount Vernon",196
2022-01-31,"Mount Vernon",172
2022-02-28,"Mount Vernon",149
2022-03-31,"Mount Vernon",147
2022-04-30,"Mount Vernon",150
2022-05-31,"Mount Vernon",158
2022-06-30,"Mount Vernon",172
2022-07-31,"Mount Vernon",182
2022-08-31,"Mount Vernon",192
2022-09-30,"Mount Vernon",190
2022-10-31,"Mount Vernon",189
2022-11-30,"Mount Vernon",179
2022-12-31,"Mount Vernon",166
2023-01-31,"Mount Vernon",154
2023-02-28,"Mount Vernon",149
2023-03-31,"Mount Vernon",150
2023-04-30,"Mount Vernon",143
2023-05-31,"Mount Vernon",129
2023-06-30,"Mount Vernon",114
2023-07-31,"Mount Vernon",103
2023-08-31,"Mount Vernon",99
2023-09-30,"Mount Vernon",95
2023-10-31,"Mount Vernon",88
2023-11-30,"Mount Vernon",82
2023-12-31,"Mount Vernon",73
2024-01-31,"Mount Vernon",69
2024-02-29,"Mount Vernon",65
2024-03-31,"Mount Vernon",70
2024-04-30,"Mount Vernon",80
2024-05-31,"Mount Vernon",85
2024-06-30,"Mount Vernon",88
2024-07-31,"Mount Vernon",87
2024-08-31,"Mount Vernon",90
2024-09-30,"Mount Vernon",86
2024-10-31,"Mount Vernon",77
2024-11-30,"Mount Vernon",71
